06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
11299638-n,Samson,(Old Testament) a judge of Israel who performed herculean feats of strength against the Philistines until he was betrayed to them by his mistress Delilah
11300203-n,"Sandburg, Carl Sandburg",United States writer remembered for his poetry in free verse and his six volume biography of Abraham Lincoln (1878-1967)
11301827-n,"Sargent, John Singer Sargent",United States painter (born in Italy) known for his society portraits (1856-1925)
11302424-n,"Satie, Erik Satie, Erik Alfred Leslie Satie",French composer noted for his experimentalism and rejection of Romanticism (1866-1925)
11302792-n,"Savonarola, Girolamo Savonarola",Italian religious and political reformer; a Dominican friar in Florence who preached against sin and corruption and gained a large following; he expelled the Medici from Florence but was later excommunicated and executed for criticizing the Pope (1452-1498)
11303290-n,"Maurice de Saxe, Saxe, Hermann Maurice Saxe, comte de Saxe, Marshal Saxe",a French marshal who distinguished himself in the War of the Austrian Succession (1696-1750)
11304206-n,"Giovanni Schiaparelli, Schiaparelli, Giovanni Virginio Schiaparelli",Italian astronomer who first noted lines (which he called canals) on the surface of Mars (1835-1910)
11305081-n,"Schliemann, Heinrich Schliemann",German archaeologist who discovered nine superimposed city sites of Troy; he also excavated Mycenae (1822-1890)
11305446-n,"Schnabel, Artur Schnabel",United States composer (born in Austria) and pianist noted for his interpretations of the works of Mozart and Beethoven and Schubert (1882-1951)
11306608-n,"Schubert, Franz Schubert, Franz Peter Schubert, Franz Seraph Peter Schubert",Austrian composer known for his compositions for voice and piano (1797-1828)
11307954-n,"Schweitzer, Albert Schweitzer",French philosopher and physician and organist who spent most of his life as a medical missionary in Gabon (1875-1965)
11308518-n,"John T. Scopes, Scopes, John Scopes, John Thomas Scopes",Tennessee highschool teacher who violated a state law by teaching evolution; in a highly publicized trial in 1925 he was prosecuted by William Jennings Bryan and defended by Clarence Darrow (1900-1970)
11309481-n,"Scott, Robert Scott, Robert Falcon Scott",English explorer who reached the South Pole just a month after Amundsen; he and his party died on the return journey (1868-1912)
11312197-n,"Selznick, David O. Selznick, David Oliver Selznick",United States filmmaker noted for his film adaptations of popular novels (1902-1965)
11312381-n,"Seneca the Younger, Seneca, Lucius Annaeus Seneca",Roman statesman and philosopher who was an advisor to Nero; his nine extant tragedies are modeled on Greek tragedies (circa 4 BC - 65 AD)
11317585-n,"Sheridan, Richard Brinsley Sheridan",Irish playwright remembered for his satirical comedies of manners (1751-1816)
11317973-n,"Sherman, William Tecumseh Sherman",United States general who was commander of all Union troops in the West; he captured Atlanta and led a destructive march to the sea that cut the Confederacy in two (1820-1891)
11319020-n,"Shostakovich, Dmitri Shostakovich, Dmitri Dmitrievich Shostakovich",Russian composer best known for his fifteen symphonies (1906-1975)
11320460-n,"Silverstein, Shel Silverstein, Shelby Silverstein",United States poet and cartoonist remembered for his stories and poems for children (1932-1999)
11320673-n,"Simenon, Georges Simenon, Georges Joseph Christian Simenon",French writer (born in Belgium) best known for his detective novels featuring Inspector Maigret (1903-1989)
11321804-n,"Wallis Simpson, Simpson, Mrs. Simpson, Wallis Warfield Simpson, Wallis Warfield Windsor, Duchess of Windsor",United States divorcee whose marriage to Edward VIII created a constitutional crisis leading to his abdication
11323127-n,"Siraj ud-Daulah, Siraj-ud-daula",Indian general and nawab of Bengal who opposed the colonization of India by England; he captured Calcutta in 1756 and many of his prisoners suffocated in a crowded room that became known as the Black Hole of Calcutta; he was defeated at the battle of Plassey by a group of Indian nobles in alliance with Robert Clive (1733-1757)
11323693-n,Sitting Bull,a chief of the Sioux; took up arms against settlers in the northern Great Plains and against United States Army troops; he was present at the Battle of Little Bighorn (1876) when the Sioux massacred General Custer's troops (1831-1890)
11326755-n,"Snead, Sam Snead, Samuel Jackson Snead",United States golfer known for the graceful arc of his swing (1912-2002)
11327754-n,Solomon,(Old Testament) son of David and king of Israel noted for his wisdom (10th century BC)
11330076-n,"Speke, John Speke, John Hanning Speke",English explorer who with Sir Richard Burton was the first European to explore Lake Tanganyika; he also discovered Lake Victoria and named it (1827-1864)
11332704-n,"Stanislavsky, Konstantin Stanislavsky, Konstantin Sergeyevich Stanislavsky, Konstantin Sergeevich Alekseev",Russian actor and theater director who trained his actors to emphasize the psychological motivation of their roles (1863-1938)
11333006-n,"Stanley, Henry M. Stanley, Sir Henry Morton Stanley, John Rowlands",Welsh journalist and explorer who led an expedition to Africa in search of David Livingstone and found him in Tanzania in 1871; he and Livingstone together tried to find the source of the Nile River (1841-1904)
11334787-n,"Steinbeck, John Steinbeck, John Ernst Steinbeck",United States writer noted for his novels about agricultural workers (1902-1968)
11334964-n,"Steinberg, Saul Steinberg",United States cartoonist (born in Romania) noted for his caricatures of famous people (1914-1999)
11342753-n,"Stuart, Gilbert Stuart, Gilbert Charles Stuart",United States painter best known for his portraits of George Washington (1755-1828)
11342932-n,"Stubbs, William Stubbs",English historian noted for his constitutional history of medieval England (1825-1901)
11343089-n,"Stuyvesant, Peter Stuyvesant, Petrus Stuyvesant",the last Dutch colonial administrator of New Netherland; in 1664 he was forced to surrender the colony to England (1592-1672)
11343311-n,"Styron, William Styron",United States writer best known for his novels (born in 1925)
11344897-n,"Sullivan, Louis Sullivan, Louis Henry Sullivan, Louis Henri Sullivan",United States architect known for his steel framed skyscrapers and for coining the phrase `form follows function' (1856-1924)
11347393-n,"Pope Sylvester II, Sylvester II, Gerbert",French pope from 999 to 1003 who was noted for his great learning (945-1003)
11350021-n,"Tamerlane, Tamburlaine, Timur, Timur Lenk",Mongolian ruler of Samarkand who led his nomadic hordes to conquer an area from Turkey to Mongolia (1336-1405)
11350687-n,"Roger B. Taney, Taney, Roger Taney, Roger Brooke Taney",United States jurist who served as chief justice of the United States Supreme Court; remembered for his ruling that slaves and their descendants have no rights as citizens (1777-1864)
11351799-n,"Tarquin, Tarquin the Proud, Tarquinius, Tarquinius Superbus, Lucius Tarquinius Superbus","according to legend, the seventh and last Etruscan king of Rome who was expelled for his cruelty (reigned from 534 to 510 BC)"
11352683-n,"Tatum, Art Tatum, Arthur Tatum",United States jazz pianist who was almost completely blind; his innovations influenced many other jazz musicians (1910-1956)
11353066-n,"R. H. Tawney, Tawney, Richard Henry Tawney",English economist remembered for his studies of the development of capitalism (1880-1962)
11357326-n,"Thales, Thales of Miletus",a presocratic Greek philosopher and astronomer (who predicted an eclipse in 585 BC) who was said by Aristotle to be the founder of physical science; he held that all things originated in water (624-546 BC)
11358167-n,"Theodosius, Theodosius I, Theodosius the Great, Flavius Theodosius","the last emperor of a united Roman Empire, he took control of the eastern empire and ended the war with the Visigoths; he became a Christian and in 391 banned all forms of pagan worship (347-395)"
11358791-n,"Thomas the Apostle, Thomas, Saint Thomas, St. Thomas, doubting Thomas, Thomas the doubting Apostle",the Apostle who would not believe the resurrection of Jesus until he saw Jesus with his own eyes
11359150-n,"Thomas, Lowell Thomas, Lowell Jackson Thomas",a radio broadcast journalist during World War I and World War II noted for his nightly new broadcast (1892-1981)
11359664-n,"Thompson, Benjamin Thompson, Count Rumford",English physicist (born in America) who studied heat and friction; experiments convinced him that heat is caused by moving particles (1753-1814)
11361609-n,Thucydides,ancient Greek historian remembered for his history of the Peloponnesian War (460-395 BC)
11362900-n,"Tinbergen, Jan Tinbergen",Dutch economist noted for his work in econometrics (1903-1994)
11364332-n,"Tocqueville, Alexis de Tocqueville, Alexis Charles Henri Maurice de Tocqueville",French political writer noted for his analysis of American institutions (1805-1859)
11364544-n,"Alexander R. Todd, Todd, Sir Alexander Robertus Todd, Lord Todd",Scottish chemist noted for his research into the structure of nucleic acids (born in 1907)
11364728-n,"Hideki Tojo, Tojo, Tojo Hideki, Tojo Eiki",Japanese army officer who initiated the Japanese attack on Pearl Harbor and who assumed dictatorial control of Japan during World War II; he was subsequently tried and executed as a war criminal (1884-1948)
11365700-n,"Susumu Tonegawa, Tonegawa Susumu",Japanese molecular biologist noted for his studies of how the immune system produces antibodies (born in 1939)
11366705-n,"Town, Ithiel Town",United States architect who was noted for his design and construction of truss bridges (1784-1844)
11367075-n,"Francis Townsend, Townsend, Francis Everett Townsend",United States social reformer who proposed an old-age pension sponsored by the federal government; his plan was a precursor to Social Security (1867-1960)
11368155-n,"Tree, Sir Herbert Beerbohm Tree",English actor and theatrical producer noted for his lavish productions of Shakespeare (1853-1917)
11368351-n,"Sir George Trevelyan, Trevelyan, George Otto Trevelyan, Sir George Otto Trevelyan",English historian who wrote a history of the American revolution and a biography of his uncle Lord Macaulay (1838-1928)
11369313-n,"Trotsky, Leon Trotsky, Lev Davidovich Bronstein",Russian revolutionary and Communist theorist who helped Lenin and built up the army; he was ousted from the Communist Party by Stalin and eventually assassinated in Mexico (1879-1940)
11372187-n,"Turgot, Anne Robert Jacques Turgot",French economist who in 1774 was put in control of finances by Louis XVI; his proposals for reforms that involved abolishing feudal privileges made him unpopular with the aristocracy and in 1776 he was dismissed (1727-1781)
11373190-n,"Turner, Nat Turner",United States slave and insurrectionist who in 1831 led a rebellion of slaves in Virginia; he was captured and executed (1800-1831)
11373842-n,"Tutankhamun, Tutankhamen",Pharaoh of Egypt around 1358 BC; his tomb was discovered almost intact by Howard Carter in 1922
11374328-n,"Tyndale, William Tyndale, Tindale, William Tindale, Tindal, William Tindal",English translator and Protestant martyr; his translation of the Bible into English (which later formed the basis for the King James Version) aroused ecclesiastical opposition; he left England in 1524 and was burned at the stake in Antwerp as a heretic (1494-1536)
11374738-n,"Tyndall, John Tyndall",British physicist (born in Ireland) remembered for his experiments on the transparency of gases and the absorption of radiant heat by gases and the transmission of sound through the atmosphere; he was the first person to explain why the daylight sky is blue (1820-1893)
11377081-n,"Pope Urban VI, Urban VI, Bartolomeo Prignano",Italian pope from 1378 to 1389 whose contested election began the Great Schism; he alienated his political allies by his ruthless treatment of his opponents (1318-1389)
11377327-n,"Pope Urban VIII, Urban VIII, Maffeo Barberini",Italian pope from 1623 to 1644 who sanctioned the condemnation of Galileo but later freed him (1568-1644)
11377655-n,Uriah,(Old Testament) the husband of Bathsheba and a soldier who was sent to die in battle so that king David could marry his wife (circa 10th century BC)
11378220-n,"Utrillo, Maurice Utrillo",French painter noted for his paintings of Parisian street scenes (1883-1955)
11378858-n,"Vancouver, George Vancouver",English navigator remembered for his exploration of the Pacific coast of North America (1757-1798)
11380017-n,"van Gogh, Vincent van Gogh, Gogh",Dutch Post-impressionist painter noted for his use of color (1853-1890)
11383264-n,"Johannes Vermeer, Vermeer, Jan Vermeer, Jan van der Meer",Dutch painter renowned for his use of light (1632-1675)
11385095-n,"Vespucci, Amerigo Vespucci, Americus Vespucius",Florentine navigator who explored the coast of South America; America was named in his honor (1454-1512)
11385295-n,"Vestris, Gaetan Vestris",Italian dancing-master for Louis XVI who was considered the greatest dancer of his day; he was the first to discard the mask in mime (1729-1808)
11385669-n,"Victor Emmanuel III of Italy, Victor Emanuel III",king of Italy who appointed Mussolini prime minister; he abdicated in 1946 and the monarchy was abolished (1869-1947)
11390649-n,"Waldheim, Kurt Waldheim",Austrian diplomat who was Secretary General of the United Nations from 1972 to 1981; in 1986 he was elected president of Austria in spite of worldwide allegations that he had direct knowledge of Nazi atrocities during World War II (born in 1918)
11391617-n,"Wallace, Edgar Wallace, Richard Horatio Edgar Wallace",English writer noted for his crime novels (1875-1932)
11391773-n,"Wallace, Sir William Wallace",Scottish insurgent who led the resistance to Edward I; in 1297 he gained control of Scotland briefly until Edward invaded Scotland again and defeated Wallace and subsequently executed him (1270-1305)
11393094-n,"Walton, Izaak Walton",English writer remember for his treatise on fishing (1593-1683)
11394584-n,"Warner, Charles Dudley Warner",United States filmmaker who with his brothers founded the movie studio that produced the first talking picture (1881-1958)
11395082-n,"Warwick, Earl of Warwick, Richard Neville, Kingmaker",English statesman; during the War of the Roses he fought first for the house of York and secured the throne for Edward IV and then changed sides to fight for the house of Lancaster and secured the throne for Henry VI (1428-1471)
11396560-n,"Thomas A. Watson, Watson, Thomas Augustus Watson",United States telephone engineer who assisted Alexander Graham Bell in his experiments (1854-1934)
11397310-n,"Archibald Wavell, Wavell, Archibald Percival Wavell, First Earl Wavell",British field marshal in North Africa in World War II; he defeated the Italians before being defeated by the Germans (1883-1950)
11398924-n,"Weber, Wilhelm Eduard Weber",German physicist and brother of E. H. Weber; noted for his studies of terrestrial magnetism (1804-1891)
11400154-n,"August Weismann, Weismann, August Friedrich Leopold Weismann",German biologist who was one of the founders of modern genetics; his theory of genetic transmission ruled out the possibility of transmitting acquired characteristics (1834-1914)
11400918-n,"Wellington, Duke of Wellington, First Duke of Wellington, Arthur Wellesley, Iron Duke",British general and statesman; he defeated Napoleon at Waterloo; subsequently served as Prime Minister (1769-1852)
11401188-n,"Wells, H. G. Wells, Herbert George Wells",prolific English writer best known for his science-fiction novels; he also wrote on contemporary social problems and wrote popular accounts of history and science (1866-1946)
11401679-n,"Carl Wernicke, Wernicke, Karl Wernicke",German neurologist best known for his studies of aphasia (1848-1905)
11403762-n,"White, E. B. White, Elwyn Brooks White",United States writer noted for his humorous essays (1899-1985)
11404286-n,"Edward Douglass White, White, Edward White, Edward D. White, Edward Douglas White Jr.",United States jurist appointed chief justice of the United States Supreme Court in 1910 by President Taft; noted for his work on antitrust legislation (1845-1921)
11405272-n,"Whittier, John Greenleaf Whittier",United States poet best known for his nostalgic poems about New England (1807-1892)
11406133-n,"Wigner, Eugene Wigner, Eugene Paul Wigner",United States physicist (born in Hungary) noted for his work on the structure of the atom and its nucleus (1902-1995)
11406498-n,"Wilder, Billy Wilder, Samuel Wilder",United States filmmaker (born in Austria) whose dark humor infused many of the films he made (1906-2002)
11406848-n,"Wilhelm II, Kaiser Wilhelm, Kaiser Bill",grandson of Queen Victoria and Kaiser of Germany from 1888 to 1918; he was vilified as causing World War I (1859-1941)
11407801-n,"Wilkinson, Sir Geoffrey Wilkinson",English chemist honored for his research on pollutants in car exhausts (born in 1921)
11408533-n,"William I, William the Conqueror",duke of Normandy who led the Norman invasion of England and became the first Norman to be King of England; he defeated Harold II at the battle of Hastings in 1066 and introduced many Norman customs into England (1027-1087)
11408836-n,"William II of England, William II, William Rufus",the second son of William the Conqueror who succeeded him as King of England (1056-1100)
11408998-n,"William III of England, William III, William of Orange","King of England and Scotland and Ireland; he married the daughter of James II and was invited by opponents of James II to invade England; when James fled, William III and Mary II were declared joint monarchs (1650-1702)"
11409614-n,"Williams, Roger Williams",English clergyman and colonist who was expelled from Massachusetts for criticizing Puritanism; he founded Providence in 1636 and obtained a royal charter for Rhode Island in 1663 (1603-1683)
11411910-n,"Wilson, Robert Woodrow Wilson",United States physicist honored for his work on cosmic microwave radiation (born in 1936)
11414037-n,"Wodehouse, P. G. Wodehouse, Pelham Grenville Wodehouse",English writer known for his humorous novels and stories (1881-1975)
11414486-n,"Wolfe, Thomas Wolfe, Thomas Clayton Wolfe",United States writer best known for his autobiographical novels (1900-1938)
11417652-n,"Wordsworth, William Wordsworth",a romantic English poet whose work was inspired by the Lake District where he spent most of his life (1770-1850)
11418606-n,"Wright, Orville Wright",United States aviation pioneer who (with his brother Wilbur Wright) invented the airplane (1871-1948)
11418778-n,"Wright, Wilbur Wright",United States aviation pioneer who (with his brother Orville Wright) invented the airplane (1867-1912)
11419712-n,"Wycherley, William Wycherley",English playwright noted for his humorous and satirical plays (1641-1716)
11421613-n,"Yale, Elihu Yale",English philanthropist who made contributions to a college in Connecticut that was renamed in his honor (1649-1721)
11423216-n,"Young, Brigham Young","United States religious leader of the Mormon Church after the assassination of Joseph Smith; he led the Mormon exodus from Illinois to Salt Lake City, Utah (1801-1877)"
11423824-n,"Young, Thomas Young",British physicist and Egyptologist; he revived the wave theory of light and proposed a three-component theory of color vision; he also played an important role in deciphering the hieroglyphics on the Rosetta Stone (1773-1829)
11425433-n,"Zeeman, Pieter Zeeman",Dutch physicist honored for his research on the influence of magnetism on radiation which showed that light is radiated by the motion of charged particles in an atom (1865-1943)
11426901-n,"Karl Ziegler, Ziegler, Karl Waldemar Ziegler",German chemist honored for his research on polymers (1898-1973)
11427860-n,"Richard Adolf Zsigmondy, Zsigmondy, Richard Adolph Zsigmondy",German chemist (born in Austria) honored for his research on colloidal solutions (1865-1929)
82846014-n,coquet,a seductive man who uses his sex appeal to exploit women
83000076-n,wonder man,a man who can be a successful husband and care for his children
83226323-n,golf widower,a husband who is left alone much of the time because his wife is playing golf
08604380-n,see,the seat within a bishop's diocese where his cathedral is located
08662127-n,Rubicon,the boundary in ancient times between Italy and Gaul; Caesar's crossing it with his army in 49 BC was an act of war
08818951-n,Byzantium,an ancient city on the Bosporus founded by the Greeks; site of modern Istanbul; in 330 Constantine I rebuilt the city and called it Constantinople and made it his capital
08833365-n,Yugoslavia,a former country of southeastern Europe bordering the Adriatic Sea; formed in 1918 and named Yugoslavia in 1929; controlled by Marshal Tito as a communist state until his death in 1980
08871057-n,Waterloo,a town in central Belgium where in 1815 Napoleon met his final defeat
09179166-n,"Harpers Ferry, Harper's Ferry",a small town in northeastern West Virginia that was the site of a raid in 1859 by the abolitionist John Brown and his followers who captured an arsenal that was located there
13267561-n,"estate, land, landed estate, acres, demesne",extensive landed property (especially in the country) retained by the owner for his own use
13284274-n,borough English,a former English custom by which the youngest son inherited land to the exclusion of his older brothers
13286502-n,bride price,money or property given (in some societies) by the bridegroom to the family of his bride
13304056-n,workmen's compensation,compensation for death or injury suffered by a worker in the course of his employment
13305585-n,"bribe, payoff",payment made to a person in a position of trust to corrupt his judgment
13305996-n,payola,a bribe given to a disc jockey to induce him to promote a particular record
13316383-n,tontine,an annuity scheme wherein participants share certain benefits and on the death of any participant his benefits are redistributed among the remaining participants; can run for a fixed period of time or until the death of all but one participant
13332007-n,exemption,a deduction allowed to a taxpayer because of his status (having certain dependents or being blind or being over 65 etc.)
13344482-n,"quid pro quo, quid",something for something; that which a party receives (or is promised) in return for something he does or gives or promises
13360204-n,post-obit bond,a bond made by a reversioner to secure a loan; payable out of his reversion
13362365-n,reversion,"(law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)"
13364299-n,pyramid,(stock market) a series of transactions in which the speculator increases his holdings by using the rising market value of those holdings as margin for further purchases
13366575-n,"no fault insurance, no fault automobile insurance",a system of automobile insurance where a party who is injured in an automobile accident recovers damages up to a specific amount against his own insurance company regardless of who was responsible for the accident
13368765-n,"tontine, tontine insurance",a form of life insurance whereby on the death or default of a participant his share is distributed to the remaining members
13400437-n,import credit,credit opened by an importer at a bank in his own country upon which an exporter may draw
13422585-n,federal tax lien,lien of the United States on all property of a taxpayer who fails to pay the federal government the taxes for which he or she is liable
13423863-n,tax lien,lien of which a tax collector may avail himself in default of taxes (analogous to a judgment lien)
13428381-n,accounts receivable,a creditor's accounts of money owed to him; normally arise from the sale of products or services
13428734-n,accounts payable,a debtor's accounts of money he owes; normally arise from the purchase of products or services
92414965-n,teaching quota,"the minimum amount of classes a teacher has to conduct, as stated in his contract."
02703754-n,Amati,a violin made by Nicolo Amati or a member of his family
02740356-n,ark,a boat built by Noah to save his family and animals from the flood
02802601-n,baseball card,a trading card with a picture of a baseball player and information about his playing record
02882125-n,"HMS Bounty, Bounty, H.M.S. Bounty",a ship of the British navy; in 1789 part of the crew mutinied against their commander William Bligh and set him afloat in an open boat
02908613-n,"brokerage house, brokerage",place where a broker conducts his business
02979048-n,"case, compositor's case, typesetter's case","(printing) the receptacle in which a compositor has his type, which is divided into compartments for the different letters, spaces, or numbers"
03150385-n,cue ball,the ball that the billiard player or pool player strikes with his cue
03206680-n,"dinner pail, dinner bucket",a pail in which a workman carries his lunch or dinner
03360884-n,flagship,the ship that carries the commander of a fleet and flies his flag
03452975-n,Gordian knot,"an intricate knot tied by Gordius, the king of Phrygia, and cut by the sword of Alexander the Great after he heard that whoever undid it would become ruler of Asia"
03725496-n,Mao jacket,a light weight jacket with a high collar; worn by Mao Zedong and the Chinese people during his regime
03981777-n,pointillism,a genre of painting characterized by the application of paint in dots and small strokes; developed by Georges Seurat and his followers in late 19th century France
04029816-n,punchboard,a small board full of holes; each hole contains a slip of paper with symbols printed on it; a gambler pays a small sum for the privilege of pushing out a slip in the hope of obtaining one that entitles him to a prize
04121648-n,"Round Table, King Arthur's Round Table",(legend) the circular table for King Arthur and his knights
04338136-n,"Stradavarius, Strad",a violin made by Antonio Stradivari or a member of his family
04385576-n,tabard,a short sleeveless outer tunic emblazoned with a coat of arms; worn by a knight over his armor or by a herald
04393370-n,Taj Mahal,beautiful mausoleum at Agra built by the Mogul emperor Shah Jahan (completed in 1649) in memory of his favorite wife
04549063-n,von Neumann machine,any digital computer incorporating the ideas of stored programs and serial counters that were proposed in 1946 by von Neumann and his colleagues
04577500-n,Wedgwood,a type of pottery made by Josiah Wedgwood and his successors; typically has a classical decoration in white on a blue background
