06383357-n,Arthurian legend,the legend of King Arthur and his court at Camelot
05914899-n,pump-and-dump scheme,an illegal scheme for making money by manipulating stock prices; the schemer persuades other people to buy the stock and then sells it himself as soon as the price of the stock rises
05925114-n,posthypnotic suggestion,a suggestion that is made to a person who is hypnotized that specifies an action he will perform (usually in response to a cue) after he has awakened
05951187-n,cataphatism,"the religious belief that God has given enough clues to be known to humans positively and affirmatively (e.g., God created Adam `in his own image')"
05965773-n,jus sanguinis,the principle that a person's nationality at birth is the same as that of his natural parents
05999866-n,principle of equivalence,(physics) the principle that an observer has no way of distinguishing whether his laboratory is in a uniform gravitational field or is in an accelerated frame of reference
06170497-n,probabilism,a Roman Catholic system of casuistry that when expert opinions differ an actor can follow any solidly probable opinion that he wishes even though some different opinion might be more probable
06198724-n,Jansenism,the Roman Catholic doctrine of Cornelis Jansen and his disciples; salvation is limited to those who are subject to supernatural determinism and the rest are assigned to perdition
06199795-n,Monothelitism,the theological doctrine that Christ had only one will even though he had two natures (human and divine); condemned as heretical in the Third Council of Constantinople
06223917-n,Machiavellianism,the political doctrine of Machiavelli: any means (however unscrupulous) can be used by a ruler in order to create and maintain his autocratic government
06232658-n,Docetism,the heretical doctrine (associated with the Gnostics) that Jesus had no human body and his sufferings and death on the cross were apparent rather than real
06239966-n,Calvinism,the theological system of John Calvin and his followers emphasizing omnipotence of God and salvation by grace alone
92443929-n,constitutional psychology,(Psychology) a school of thought postulating that the personality of an individual is dependent on the type of his physique (somatotype).
92444048-n,Nietzscheanism,the philosophical theories of Nietzsche advocating the overcoming of both a threatening nihilism and a slave morality as exemplified for him in historical Christianity through a reevaluation of all values on the basis of a will to power epitomized in his doctrine of the superman and the idea of the eternal recurrence of all things.
92447044-n,neocriticism,a form of neo-Kantianism developed principally by C. B. Renouvier and his followers rejecting the noumena of Kant and restricting knowledge to phenomena as constituted by a priori categories.
02433394-n,pricket,male deer in his second year
05270682-n,stubble,short stiff hairs growing on a man's face when he has not shaved for a few days
09509554-n,Augeas,(Greek mythology) the mythical Greek king who for 30 years did not clean his stables which contained his vast herd of cattle
09517114-n,Circe,(Greek mythology) a sorceress who detained Odysseus on her island and turned his men into swine
09517895-n,Ganymede,(Greek mythology) a Trojan boy who was so beautiful that Zeus carried him away to serve as cupbearer to the gods
09520495-n,Andromeda,"(Greek mythology) an Ethiopian princess and daughter of Cassiopeia; she was fastened to a rock and exposed to a sea monster that was sent by Poseidon, but she was rescued by Perseus and became his wife"
09521628-n,Midas,(Greek legend) the greedy king of Phrygia who Dionysus gave the power to turn everything he touched into gold
09522469-n,Narcissus,(Greek mythology) a beautiful young man who fell in love with his own reflection
09522625-n,Nemean lion,(Greek mythology) an enormous lion strangled by Hercules as the first of his 12 labors
09523530-n,Patroclus,(Greek mythology) a friend of Achilles who was killed in the Trojan War; his death led Achilles to return to the fight after his quarrel with Agamemnon
09523757-n,Pegasus,(Greek mythology) the immortal winged horse that sprang from the blood of the slain Medusa; was tamed by Bellerophon with the help of a bridle given him by Athena; as the flying horse of the Muses it is a symbol of highflying imagination
09536351-n,"Ra, Re",ancient Egyptian sun god with the head of a hawk; a universal creator; he merged with the god Amen as Amen-Ra to become the king of the gods
09540763-n,Ea,the Babylonian god of wisdom; son of Apsu and father of Marduk; counterpart of the Sumerian Enki; as one of the supreme triad including Anu and Bel he was assigned control of the watery element
09542423-n,"Marduk, Merodach, Baal Merodach, Bel-Merodach",the chief Babylonian god; his consort was Sarpanitu
09543358-n,Nergal,(Akkadian) god ruling with his consort Ereshkigal the world of the dead
09552766-n,Varuna,"in Vedism, god of the night sky who with his thousand eyes watches over human conduct and judges good and evil and punishes evildoers; often considered king of the Hindu gods and frequently paired with Mitra as an upholder of the world"
09558112-n,Izanagi,the god who fathered the islands and gods of Japan with his sister Izanami
09560892-n,"Holy Ghost, Holy Spirit, Paraclete",the third person in the Trinity; Jesus promised the Apostles that he would send the Holy Spirit after his Crucifixion and Resurrection; it came on Pentecost
09577148-n,Pythius,epithet for Apollo; from the dragon Python which he killed
09577634-n,Leander,(Greek mythology) a youth beloved of Hero who drowned in a storm in the Hellespont on one of his nightly visits to see her
09579434-n,Romulus,(Roman mythology) founder of Rome; suckled with his twin brother Remus by a wolf after their parents (Mars and Rhea Silvia) abandoned them; Romulus killed Remus in an argument over the building of Rome
09581094-n,Cronus,(Greek mythology) the supreme god until Zeus dethroned him; son of Uranus and Gaea in ancient Greek mythology; identified with Roman Saturn
09582330-n,"Aesculapius, Asclepius, Asklepios",son of Apollo; a hero and the Roman god of medicine and healing; his daughters were Hygeia and Panacea
09583325-n,"Daedalus, Daedal",(Greek mythology) an Athenian inventor who built the labyrinth of Minos; to escape the labyrinth he fashioned wings for himself and his son Icarus
09583555-n,Damon and Pythias,(Greek mythology) according to a Greek legend: when Pythias was sentenced to be executed Damon took his place to allow Pythias to get his affairs in order; when Pythias returned in time to save Damon the king was so impressed that he let them both live
09584266-n,Helios,(Greek mythology) ancient god of the sun; drove his chariot across the sky each day; identified with Roman Sol
09584449-n,Icarus,(Greek mythology) son of Daedalus; while escaping from Crete with his father (using the wings Daedalus had made) he flew too close to the sun and the wax melted and he fell into the Aegean and drowned
09586748-n,Janus,(Roman mythology) the Roman god of doorways and passages; is depicted with two faces on opposite sides of his head
09588018-n,Ariadne,beautiful daughter of Minos and Pasiphae; she fell in love with Theseus and gave him the thread with which he found his way out of the Minotaur's labyrinth
09590689-n,Nereus,(Greek mythology) a sea god son of Pontus and Gaea; lived in the depths of the sea with his wife Doris and their daughters the Nereids
